dbw_enabled,linear_current,angular_current,linear_required,angular_required,throttle,brake,steer,dx_c,dy_c,theta_c,steering_feedback
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
True,5.0365359264e-07,0.0,2.556936713011052,0.0,0.057197034031797135,0.0,0.0,1131.23,1183.27,0.1034537,0.0
